s2_paper_id,title,authors,year,cited_version,citation_count,contexts,intents,doi,arxiv_id,classification,confidence,representative_quote,reason
5d8d1dadd6bd5daf3dc9add997504cfacd9482f1,A metrics-based comparative study on object-oriented programming languages,Di Wu; Lin Chen; Yuming Zhou; Baowen Xu,2015.0,FSE2014,13,"[""Other related empirical programming language research include the comparison on languages\u2019 difference in running time, memory consumption, and productivity [14], the survey of developers\u2019 behaviors in using object-oriented concepts [15], the study on languages\u2019 support for code quality [16], and the investigation on languages\u2019 adoption [17], etc.""]","[""background""]",10.18293/SEKE2015-64,,neutral,,,manual
05d090dfdec2c0343f08516bdeb6d36ff25b4951,ATINER ' s Conference Paper Series COM 2015-1549,Till Hänisch,2015.0,FSE2014,0,"[""While there is a significant, but only small correlation between the programming language and the error rate, there is a clear dependency between code size and error rate (Ray, 2014).""]","[""background""]",,,hedged,,,manual
74ebdc3b61ac8fefd5507ede340130074087b42f,An empirical study on the impact of Python dynamic features on change-proneness,Beibei Wang; Lin Chen; Wanwangying Ma; Zhifei Chen; Baowen Xu,2015.0,FSE2014,25,"[""On every considered release, we gather the change information\nand dynamic features of each file, depending on the methods mentioned earlier.""]","[""methodology""]",10.18293/SEKE2015-97,,neutral,,,manual
7ced9583cdfc34f1db2d0e0df3668cc46bd11c1a,Assert Use in GitHub Projects,Casey Casalnuovo; Premkumar T. Devanbu; A. Oliveira; V. Filkov; Baishakhi Ray,2015.0,FSE2014,59,"[""In our recent work on code defects in the GitHub corpus [40], we categorized projects based on their application domain into six general groups: Applications, Code Analyzer, Database, Framework, Library, and Middleware."", ""[40] As code in these different categories may be substantially different [40], it is reasonable to expect that the code development process, including debugging, may be different across these domains."", ""While there we did not find a relationship between code quality and application domain in our prior work, [40], assert use might be related to the domain.""]","[""methodology"", ""background""]",10.1109/ICSE.2015.88,,neutral,,,manual
a276ff43eb3ff97ec14ab105be4775914c16d1ff,Contrasting exception handling code across languages: An experience report involving 50 open source projects,Benjamin Jakobus; E. Barbosa; Alessandro F. Garcia; C. Lucena,2015.0,FSE2014,14,"[""Others have examined the impact of language on code quality [24] and productivity [26]."", ""The same approach has been taken in a previous study [24]."", ""Furthermore, whilst existing works examine the effect that language has on code quality, maintainability and productivity [24][25][26], none of them look specifically at how EHMs are used across different programming languages."", ""This same approach has been taken by a previous study that draws on data from GitHub [24].""]","[""result"", ""background""]",10.1109/ISSRE.2015.7381812,,causal,,,manual
efcc4d9e46106dd7c84304cfc1dc1081ff95a379,Digital system robustness via design constraints: The lesson of formal methods,J. Mayo; R. Armstrong; G. Hulette,2015.0,FSE2014,5,"[""There appears to be ample objective evidence [22], [23] that the programming""]","[""background""]",10.1109/SYSCON.2015.7116737,,causal,,,manual
738b2dd3dd59dec073e3bdca89e0870503c915a8,"Empirical Software Linguistics: An Investigation of Code Reviews, Recommendations and Faults",Vincent J. Hellendoorn,2015.0,FSE2014,0,"[""This method was taken from our previous work [82].""]","[""methodology""]",,,neutral,,,manual
d44d435432b5c96b963cd1e29da93f42c95200b7,Experience report: an empirical study of PHP security mechanism usage,J. Dahse; Thorsten Holz,2015.0,FSE2014,9,"[""Furthermore, weak typing introduces oddities when comparing data of different data types, leading to even more (potential) bugs or insecurities [18].""]","[""background""]",10.1145/2771783.2771787,,causal,,,manual
b81d55a04fbe6332cdb6b2856db7c124e82e6acd,GitHub's big data adaptor: an eclipse plugin,Ali Sajedi Badashian; Vraj Shah; Eleni Stroulia,2015.0,FSE2014,5,[],[],,,no_context,,,No citation context available
d121ba9ef35a3f483f3bb1608c8829fb2ee946b5,Identifying Metrics' Biases When Measuring or Approximating Size in Heterogeneous Languages,R. Hebig; Jesper Derehag; M. Chaudron,2015.0,FSE2014,3,"[""However, in industry new development techniques often come with changes in the applied programming languages."", ""Third, we aim at covering the range of metrics that are used to measure or approximate size in other research works, e.g. by Malaiya [4], Nugroho et al. [7], or Ray et al. [10].""]","[""background""]",10.1109/ESEM.2015.7321201,,neutral,,,manual
cfb0d0a633957b232d467fd122d3ec5244d24184,"On the ""Naturalness"" of Buggy Code",Baishakhi Ray; Vincent Hellendoorn; Saheel Godhane; Zhaopeng Tu; Alberto Bacchelli; Premkumar T. Devanbu,2015.0,FSE2014,287,"[""This method was adapted from our previous work [46].""]","[""methodology""]",10.1145/2884781.2884848,1506.01159,neutral,,,manual
c74a2bccd693bedafd08907ec2c724253904382f,Qualitative repository analysis with RepoGrams,D. Rozenberg,2015.0,FSE2014,0,"[""Although there have been recent studies that take advantage of this enormous availability by evaluating artifacts from hundreds or thousands of projects from such repositories in their evaluations [17, 52], most studies rely on just a handful of evaluation targets that were picked manually by the researchers.""]","[""background""]",10.14288/1.0166565,,neutral,,,manual
d8ccc4cdba98f1312c6132be2502c9f22a2733f0,Relating Code Faults to Human Developer Characteristics,H. Sharp; Tracy Hall; David Bowes,2015.0,FSE2014,1,"[""However more recent work recognises that faults are not homogenous and have many characteristics (e.g. [ 29]).""]","[""background""]",,,neutral,,,manual
ccb92d9344e172c8b6ddebac6475d2feed3481a7,Supporting Code Review by Automatic Detection of Potentially Buggy Changes,Mikołaj Fejzer; M. Wojtyna; Marta Burzanska; Piotr Wisniewski; K. Stencel,2015.0,FSE2014,3,[],[],10.1007/978-3-319-18422-7_42,,no_context,,,No citation context available
b0fab97623b040e39e0447a309481b6d25570a18,Toward improving graftability on automated program repair,S. Sumi; Yoshiki Higo; Keisuke Hotta; S. Kusumoto,2015.0,FSE2014,8,[],[],10.1109/ICSM.2015.7332504,,no_context,,,No citation context available
01225251abeb1bd491c589ded10c88c6ddf01527,What change history tells us about thread synchronization,Rui Gu; Guoliang Jin; Linhai Song; Linjie Zhu; Shan Lu,2015.0,FSE2014,40,"[""Many studies have looked at software code repositories in the past [23, 25, 28, 40, 46, 50, 65], most of which did not focus on synchronization issues.""]","[""background""]",10.1145/2786805.2786815,,neutral,,,manual
fa30d317fd484199fc17f996b7fcf245cc16a035,What is the Truck Factor of popular GitHub applications? A first assessment,G. Avelino; M. T. Valente; André C. Hora,2015.0,FSE2014,16,"[""A similar procedure is followed by other studies on GitHub [4].""]","[""result""]",10.7287/peerj.preprints.1233v3,,neutral,,,manual
617bfa500a4dfccb03b3024f819fc4c4d1fd49d0,A Case Study on Using Functional Programming for Internet of Things Applications,Till Haenisch,2016.0,FSE2014,6,[],[],10.30958/AJTE.3-1-2,,no_context,,,No citation context available
109d926951b629d741da3bdd06dccc6add383e9b,A Large Scale Study of Multiple Programming Languages and Code Quality,Pavneet Singh Kochhar; Dinusha Wijedasa; D. Lo,2016.0,FSE2014,79,[],[],10.1109/SANER.2016.112,,no_context,,,No citation context available
0422edaea3367315610ec86c1b6cf89c3c01b368,A Quantitative and Qualitative Investigation of Performance-Related Commits in Android Apps,Teerath Das; M. D. Penta; I. Malavolta,2016.0,FSE2014,30,"[""[17] for the analysis of bug categories on GitHub.""]","[""background""]",10.1109/ICSME.2016.49,,neutral,,,manual
48f49dfc494e96a2b5598603a3818a4f1acaf812,A framework for quality assessment of ROS repositories,A. Santos; Alcino Cunha; Nuno Macedo; C. Lourenço,2016.0,FSE2014,46,"[""More closely related to our work, Ray et al. [17] collect several process metrics from public GitHub repositories and try to infer how these affect the quality of the projects and how this is related with the chosen programming language.""]","[""background""]",10.1109/iros.2016.7759661,,causal,,,manual
921a55f3f375928b1282f48eb852ffd0fb4cc6a9,A large ecosystem study to understand the effect of programming languages on code quality,Baishakhi Ray; Daryl Posnett,2016.0,FSE2014,2,[],[],10.1016/B978-0-12-804206-9.00023-4,,no_context,,,No citation context available
0180369ee913930bdb6d437eaa17b7e00e8f397b,A novel approach for estimating Truck Factors,G. Avelino; L. Passos; André C. Hora; M. T. Valente,2016.0,FSE2014,131,"[""To select a target set of subjects, we follow a procedure similar to other studies investigating GitHub [12]\u2013[15].""]","[""result""]",10.1109/ICPC.2016.7503718,1604.06766,neutral,,,manual
e86dcdf898c23619da15c1a4d46f952dc0b5569f,A taxonomy of cross-language linking mechanisms in open source frameworks,Philip Mayer,2016.0,both,15,"[""Another recent study [27] compared code quality in different GPL""]","[""result""]",10.1007/s00607-016-0528-3,,neutral,,,manual
94b4b20b42dbbe4c170eceee06c79f487e91196d,An Empirical Study on the Impact of C++ Lambdas and Programmer Experience,Phillip Merlin Uesbeck; A. Stefik; Stefan Hanenberg; J. Pedersen; P. Daleiden,2016.0,FSE2014,74,"[""We decided to set the limit to 40 minutes, a number we derived from pilot data.""]","[""methodology""]",10.1145/2884781.2884849,,neutral,,,manual
496bcb8de7f924a4465209358375cc9c1f49bb8e,Análise da Contribuição para Código entre Repositórios do GitHub,Lais M. A. Rocha; Thiago H. P. Silva; M. Moro,2016.0,FSE2014,6,[],[],10.5753/sbbd.2016.24312,,no_context,,,No citation context available
a7ba1279a5d6d21c9e6bebaf78da233d3e4c7e4e,Are delayed issues harder to resolve? Revisiting cost-to-fix of defects throughout the lifecycle,T. Menzies; William R. Nichols; F. Shull; L. Layman,2016.0,FSE2014,27,"[""Ray et al. [79] tested if strongly typed languages predict for better code quality.""]","[""background""]",10.1007/s10664-016-9469-x,1609.04886,hedged,,,manual
d1cc35e2a547ba79f1b07fdd81ee0da264c0d6b6,Belief & Evidence in Empirical Software Engineering,Premkumar T. Devanbu; Thomas Zimmermann; C. Bird,2016.0,FSE2014,171,"[""#) tends to have fewer bugs than code written in a language with dynamic typing (e.g., Python) [46, 15] 3 Like Medicine, software engineering is highly consequential to personal health and safety, social well-being, and the economy."", ""Code quality (defect occurrence) depends on which programming language is used [46] 3.17 1.16 Fixing defects is riskier (more likely to cause future defects) than adding new features [34, 48] 2.63 1.08 Geographically distributed teams produce code whose quality (defect occurrence) is just as good\u2026"", ""Interestingly as it turns out, this is a topic on which there is limited literature, with results just recently starting to emerge [46]; this certainly has long been a controversial topic, and one mightn\u2019t expect developer opinion on this much-debated topic to be moved towards consensus by just one\u2026""]","[""background""]",10.1145/2884781.2884812,,causal,,,manual
55c4849b1540d84dbcc1181639ddf41e60e7d3fb,Characterizing non-deadlock concurrency bug fixes in open-source Java programs,Misun Yu; Yu-Seung Ma; Doo-Hwan Bae,2016.0,FSE2014,4,"[""4.2 Bug-fix representativeness We selected non-deadlock concurrency bugs and their first correct bug fixes from bug databases."", ""The difference between previous work [2], [3], [4], [5], [6] and ours is that we analyzed effects of existing locks and failure types on the selection of fix patterns.""]","[""result"", ""background""]",10.1145/2851613.2851967,,neutral,,,manual
895e8ffccc6f27fe46ee6ddf61a5e0f3873182c2,Comparing Repositories Visually with RepoGrams,D. Rozenberg; Ivan Beschastnikh; Fabian Kosmale; Valerie Poser; Heiko Becker; Marc Palyart; G. Murphy,2016.0,FSE2014,31,"[""Some SE studies target hundreds or thousands of projects in their evaluations [36, 11].""]","[""background""]",10.1145/2901739.2901768,,neutral,,,manual
6f4b24181d970d29c8b3190b91a2a3f43626e7b9,DEVELOPMENT OF A SysML FRAMEWORK FOR GAS TURBINE DESIGN UNDER UNCERTAINTY,A. Ramamurthy; J. Valenzuela; R. Siemens,2016.0,FSE2014,1,"[""Based on a survey of some of the popular programming languages [4], and the requirement of an object-oriented (OO) software, the framework was developed in Python [5].""]","[""background""]",,,neutral,,,manual
d01e3e312ea3c27b4aec05515001ed21e5437dbe,Designing a Knowledge Base for OSS Project Recommender System: a Big Data Analytics Approach,Shahab Bayati; Arvind K. Tripathi,2016.0,FSE2014,4,[],[],,,no_context,,,No citation context available
cd09c89cdbc9ffcbb232d2ee18b77fd4be4fbdf6,Detection of Software Clones Written in Multiple Programming Languages,Yuta Nakamura; Eunjong Choi; Norihiro Yoshida; Syusuke Haruna; Katsuro Inoue,2016.0,FSE2014,0,"[""\u3057\u304b\u3057,\u3053\u308c\u3089 \u306e\u7814\u7a76\u306f,\u4e3b\u306b\u5358\u4e00\u306e\u30d7\u30ed\u30b0\u30e9\u30df\u30f3\u30b0\u8a00\u8a9e (\u4ee5\u964d,\u8a00\u8a9e)\u3067 \u8a18\u8ff0\u3055\u308c\u305f\u30bd\u30d5\u30c8\u30a6\u30a7\u30a2\u3092\u5bfe\u8c61\u306b\u3057\u3066\u3044\u308b\u305f\u3081,\u8907\u6570\u306e\u8a00 \u8a9e\u3092\u7d44\u5408\u308f\u305b\u3066\u3088\u308a\u9ad8\u5ea6\u306a\u30bd\u30d5\u30c8\u30a6\u30a7\u30a2\u304c\u958b\u767a\u3055\u308c\u3066\u304d\u3066 \u3044\u308b\u73fe\u72b6\u306b\u3042\u3063\u3066\u306a\u3044 [9].""]",[],,,neutral,,,manual
2b16e74e4cab96696833c509b319e88b2944074d,Discount method for programming language evaluation,Svetomir Kurtev; Tommy Aagaard Christensen; Bent Thomsen,2016.0,FSE2014,6,[],[],10.1145/3001878.3001879,,no_context,,,No citation context available
24d4133443ffcaff10d679486525c65d3458a762,Empirical analysis of the relationship between CC and SLOC in a large corpus of Java methods and C functions,D. Landman; Alexander Serebrenik; J. Vinju,2016.0,FSE2014,53,"[""Our work follows the ongoing trend of empirically re-evaluating (or even replicating [82]) earlier software engineering claims (cf. [83, 84]).""]","[""methodology""]",10.1002/smr.1760,,neutral,,,manual
4b59739c5b1a19588343a12b6f23bc52700d21e6,FM 2016: Formal Methods,J. Fitzgerald; Constan e Heitmeyer; S. Gnesi; Anna Philippou,2016.0,FSE2014,2,[],[],10.1007/978-3-319-48989-6,,no_context,,,No citation context available
cfd7f88678029fd0bac998409f5125e30c5ba199,Finding strategies for executing Ada-code in real-time on Linux using an embedded computer.,Adam Lundström,2016.0,FSE2014,0,[],[],,,no_context,,,No citation context available
cc2221c90ee09f34789b928718131a62f87f5b9f,Forking and the Sustainability of the Developer Community Participation -- An Empirical Investigation on Outcomes and Reasons,Ayushi Rastogi; N. Nagappan,2016.0,FSE2014,34,"[""We use a mix of automated and manual techniques (as suggested by [22]) and classify projects into six domains, namely, application, database, compiler, middleware, library, framework, and others.""]","[""methodology""]",10.1109/SANER.2016.27,,neutral,,,manual
0cfc220918138363c2faa285d2cca008ec3a2bfc,Geographical bias in GitHub : perceptions and reality,Ayushi Rastogi; N. Nagappan; Georgios Gousios,2016.0,FSE2014,7,"[""05, size of change as log odds, and the impact as the percentage of deviance as used in other studies [30].""]","[""result""]",,,neutral,,,manual
a331e24a763fb411a51a4962731976d9030e2556,History Driven Program Repair,X. Le; D. Lo; Claire Le Goues,2016.0,FSE2014,391,"[""[44] to gather large, popular, and active open source Java projects.""]","[""background""]",10.1109/SANER.2016.76,,neutral,,,manual
44409036fa59fdc23d6eb637276f3310680bf89e,How Does the Shift to GitHub Impact Project Collaboration?,Luiz Felipe Dias; I. Steinmacher; G. Pinto; D. A. D. Costa; M. Gerosa,2016.0,FSE2014,25,"[""In addition, GitHub is often used in recent software engineering studies (e.g., [3], [6], [7], [8]).""]","[""methodology""]",10.1109/ICSME.2016.78,,neutral,,,manual
eeecc4ff093b6d387cdb9909903cbb90693f7bed,IN PYTHON WITH FORTRAN PERFORMANCE,Juan Rodríguez; Helge Eichhorn,2016.0,FSE2014,0,"[""For example, if defect density were to be selected as the single figure to rank the contenders, well-established languages for space applications such as FORTRAN or C would perform worse than functional languages such as Haskell or Erlang[6]."", ""The variety of type systems across has traditionally been a major source of debate among programmers, and in fact some studies suggest that there is \""a small but significant relationship between language class and defects\""[6].""]","[""background""]",,,causal,,,manual
ebb6ee9fbccb53f535076cf90f771d7a4ead03bf,Impact of Introducing Domain-Specific Modelling in Software Maintenance: An Industrial Case Study,Niklas Mellegård; Adry Ferwerda; Kenneth Lind; Rogardt Heldal; M. Chaudron,2016.0,FSE2014,18,"[""The strength of the relationship was tested using Cram er\u2019s V (\u2019c) statistic [26], [27].""]","[""methodology""]",10.1109/TSE.2015.2479221,,neutral,,,manual
ebbd382eb997f2d937b18908865464746a7b23f5,Impacts of Bad ESP (Early Size Predictions) on Software Effort Estimation,George Mathew; T. Menzies; J. Hihn,2016.0,FSE2014,7,"[""\u2022 Methodological implications: Numerous recent publications caution that merely because some belief that are widely held by supposed experts, they can still be misleading [4, 5, 6, 7, 8, 9, 10, 11, 12].""]","[""background""]",,1612.0324,neutral,,,manual
90827c9bd82fc2f2467422b0482dcd5172d69d65,Influence analysis of Github repositories,Yan-zhong Hu; Jun Zhang; Xiaomei Bai; Shuo Yu; Zhuo Yang,2016.0,FSE2014,55,"[""Some study language importance, or predict the trends of popular programming languages (Casalnuovo et al. 2015; Ray et al. 2014)."", ""Similar to the work on evaluating the effect of programming languages on open source projects (Ray et al. 2014), we build language-specific social graph, and conduct language-specific analysis to get the per-language repository influence.""]","[""background""]",10.1186/s40064-016-2897-7,,causal,,,manual
8b52c77b3aa40843f46ec3c82cc8f66b156df7d7,Learning Moore machines from input–output traces,G. Giantamidis; S. Tripakis,2016.0,FSE2014,51,"[""Examples include, but are by no means limited to, the classic field of system identification [35], as well as more recent works on synthesizing programs, controllers, or other artifacts from examples [44,21,42,41,5].""]",[],10.1007/s10009-019-00544-0,1605.07805,neutral,,,manual
036fa7bf6b1d33f80938a752c24aeb0bfed613c6,More Common Than You Think: An In-depth Study of Casual Contributors,G. Pinto; I. Steinmacher; M. Gerosa,2016.0,FSE2014,126,"[""As one of the most popular code forges, with more than 11M users and 29M projects [36], GitHub is often used for software engineering studies [46], [47], [57], [66], [51]."", ""Also, the authors observed that the newcomers that use these tools finish their contributions faster, and have better code comprehension."", ""This fact prevents disambiguation techniques from being successful.""]","[""methodology"", ""background""]",10.1109/SANER.2016.68,,neutral,,,manual
0d42f24c254ba0f551e776d923873b1666d3b062,On GitHub's Programming Languages,Amirali Sanatinia; G. Noubir,2016.0,FSE2014,11,"[""A body of literature [29], [28] mined software repositories such as GitHub, but they had a smaller scope."", ""Ray et al. [29], study the impact of programming languages on software quality.""]","[""background""]",,1603.00431,causal,,,manual
2de27aa99bdc8b27cfbd9f67f2375ca52874e1ce,Predictive Mutation Testing,Jie M. Zhang; Lingming Zhang; M. Harman; Dan Hao; Yue Jia; Lu Zhang,2016.0,FSE2014,173,"[""As in previous work [57], [58], [59], we select the most popular projects based on their number of stars.""]","[""background""]",10.1109/TSE.2018.2809496,,neutral,,,manual
20ed03837efcc2a15a8b2dc67241a3f449f2f587,Security and Privacy of Protocols and Software with Formal Methods,Fabrizio Biondi; Axel Legay,2016.0,FSE2014,6,"[""It is common for software developers and engineers to introduce bugs in an implementation, particularly when using non-strongly-typed languages [38].""]","[""background""]",10.1007/978-3-319-47166-2_61,,causal,,,manual
9cb43a202ba2ce5444fe57d2bda8f86fe9b48cd5,Studying the evolution of PHP web applications,Theodoros Amanatidis; A. Chatzigeorgiou,2016.0,FSE2014,27,[],[],10.1016/j.infsof.2015.11.009,,no_context,,,No citation context available
5e45980bff9ff8d341263eee053091e648b6026a,What Are the Dominant Projects in the GitHub Python Ecosystem?,Wanwangying Ma; Lin Chen; Yuming Zhou; Baowen Xu,2016.0,FSE2014,13,[],[],10.1109/TSA.2016.23,,no_context,,,No citation context available
603e58b1adfac10f4b52421456c934ae92950fba,A Large-Scale Study of Modern Code Review and Security in Open Source Projects,Christopher Thompson; D. Wagner,2017.0,FSE2014,40,"[""[36] looked at the effects of programming languages on software quality."", ""[36] where 2% of bug fixing commits were categorized as security-related."", ""[36], and we use similar model construction techniques.""]","[""methodology"", ""background""]",10.1145/3127005.3127014,,causal,,,manual
d42949ac5dc2e1544e5afcaf994aacdfefe98705,Advantages and Disadvantages of a Monolithic Repository: A Case Study at Google,Ciera Jaspan; M. Jorde; Andrea Knight; Caitlin Sadowski; Edward K. Smith; C. Winter; E. Murphy-Hill,2017.0,FSE2014,31,"[""Github and other open-source codebases do have many similarities to a monolithic repo, and these open-source codebases and communities have been well-studied [15, 16, 23, 28].""]","[""background""]",10.1145/3183519.3183550,,neutral,,,manual
327bee85f9bc08279794532d9b5cc53fd5709498,Algorithmic debugging for complex lazy functional programs,M. Faddegon,2017.0,FSE2014,0,[],[],,,no_context,,,No citation context available
e482fe05ab24440222d6e1be94598148529007a2,Are vulnerabilities discovered and resolved like other defects?,P. Morrison; Rahul Pandita; Xusheng Xiao; R. Chillarege; L. Williams,2017.0,FSE2014,41,"[""Where statistically significant differences are found, we compute 34 and report 35 an effect size measure for categorical data, Cramer\u2019s V (Ray et al. 2014; Souza and Silva 2017).""]","[""methodology""]",10.1007/s10664-017-9541-1,,neutral,,,manual
e302c5faea4ea292a52e06231aa3edbe55b0dc1d,Assessing user preferences in programming language design,R. Chamberlain,2017.0,FSE2014,3,[],[],10.1145/3133850.3133851,,no_context,,,No citation context available
bb8bf93c4380655ab369a5545cb78dc7697d80f6,Automatic Non-functional Testing and Tuning of Configurable Generators. (Une approche pour le test non-fonctionnel et la configuration automatique des générateurs),Mohamed Boussaa,2017.0,FSE2014,4,[],[],,,no_context,,,No citation context available
5cfeb05333b55677cb6ac822230dacd74179baad,Bug Characteristics in Blockchain Systems: A Large-Scale Empirical Study,Zhiyuan Wan; D. Lo; Xin Xia; L. Cai,2017.0,FSE2014,105,"[""One possible reason for this reduction could be the adoption of programming languages with managed memory type (i.e., JavaScript and Go) [15], as well as the use of more advanced debugging tools during the development process in recent years [14]."", ""Do the frequency distributions of bug types vary substantially across different programming languages? Programming languages have specific features classified by programming paradigm (procedural, scripting or functional), compilation class (static or dynamic), type class (strong or weak), and memory class (managed or unmanaged) [15]."", "", JavaScript and Go) [15], as well as the use of more advanced debugging tools during the development process in recent years [14].""]","[""background""]",10.1109/MSR.2017.59,,causal,,,manual
8d0416df30daf5ed9b8a5c22e17a2bbf1aa56e98,Cataloging GitHub Repositories,Abhishek Sharma; Ferdian Thung; Pavneet Singh Kochhar; Agus Sulistya; D. Lo,2017.0,FSE2014,50,"[""For getting these parameters, we search numtopic in the range of [2, 50], numiter in the range of [20, 500], and both \u03b1 and \u03b2 in the range of (0, 0.1]."", ""There also have been studies investigating relationship between programming languages and code quality based on GitHub projects [12, 20].""]","[""background""]",10.1145/3084226.3084287,,hedged,,,manual
a6608a5905bddb72b65a4a5ae0bad844575f598c,ClassifyHub: An Algorithm to Classify GitHub Repositories,Marcus Soll; Malte Vosgerau,2017.0,FSE2014,15,"[""Because of this diversity GitHub is ideal for many research projects (e.g. in\ufb02uence of programming languages to code quality [10] or social studies [14]).""]","[""background""]",10.1007/978-3-319-67190-1_34,,causal,,,manual
00da5de02e2375b5193d842c677a6c2aedab1dc3,Code Quality: Examining the Efficacy of Automated Tools,S. Dasgupta; Sara Hooshangi,2017.0,FSE2014,10,[],[],,,no_context,,,No citation context available
